,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0,2.5052810408860194e-05,20,100,type1,5000
1,6.450379367876525e-05,20,100,type1,5000
2,0.00022730877893498957,20,100,type1,5000
0,0.0005329694745526002,20,200,type2,4000
3,0.0006249177334208746,20,100,type1,5000
4,0.0006307415948591651,20,100,type1,5000
5,0.0007482319034772931,20,100,type1,5000
0,0.0008387605423972131,20,300,type3,1000
1,0.0009461076118927619,20,200,type2,4000
6,0.0009815867939490437,20,100,type1,5000
7,0.0010291970057032,20,100,type1,5000
2,0.0010451764695610223,20,200,type2,4000
3,0.0011625393199240716,20,200,type2,4000
4,0.0012253784811088987,20,200,type2,4000
5,0.0012455864217610498,20,200,type2,4000
8,0.0013533714637324636,20,100,type1,5000
6,0.0014019407345392278,20,200,type2,4000
7,0.0014542589586954808,20,200,type2,4000
8,0.0014993976924507705,20,200,type2,4000
9,0.0015925747659636129,20,100,type1,5000
10,0.001600013338282117,20,100,type1,5000
11,0.0016151867975907504,20,100,type1,5000
1,0.0016361266950337926,20,300,type3,1000
2,0.0016711770216255232,20,300,type3,1000
9,0.0017389627652577792,20,200,type2,4000
3,0.001774273832983445,20,300,type3,1000
12,0.0019544186711159778,20,100,type1,5000
4,0.001984628531994594,20,300,type3,1000
13,0.0022243910692937604,20,100,type1,5000
10,0.0023207639110142046,20,200,type2,4000
11,0.0023448654491408784,20,200,type2,4000
12,0.0023828531618018084,20,200,type2,4000
14,0.002419654269491401,20,100,type1,5000
15,0.002665359218555502,20,100,type1,5000
13,0.002905149420994177,20,200,type2,4000
16,0.0029053253000873767,20,100,type1,5000
5,0.0029118973826940554,20,300,type3,1000
17,0.0030469533442941347,20,100,type1,5000
18,0.0030569635627858012,20,100,type1,5000
6,0.0031253032237168687,20,300,type3,1000
14,0.0034996305474870822,20,200,type2,4000
15,0.0035911981636440183,20,200,type2,4000
19,0.0036355239294280023,20,100,type1,5000
16,0.0036927033604467006,20,200,type2,4000
20,0.0037215125016280422,20,100,type1,5000
17,0.003864281132557598,20,200,type2,4000
18,0.0038672916294752095,20,200,type2,4000
21,0.0038969489995048508,20,100,type1,5000
19,0.0039055151365006186,20,200,type2,4000
20,0.004007038616912252,20,200,type2,4000
22,0.004021238022361504,20,100,type1,5000
23,0.004560247499747243,20,100,type1,5000
7,0.004566183460380324,20,300,type3,1000
24,0.004617283482935937,20,100,type1,5000
25,0.004751258698676416,20,100,type1,5000
21,0.004785876326879905,20,200,type2,4000
22,0.004922302912643569,20,200,type2,4000
26,0.0050194389315846065,20,100,type1,5000
23,0.005146063642284056,20,200,type2,4000
27,0.0053256020641780375,20,100,type1,5000
24,0.00541117919403322,20,200,type2,4000
28,0.005518054339027246,20,100,type1,5000
25,0.005597321126305876,20,200,type2,4000
26,0.005638941035191754,20,200,type2,4000
29,0.005697462685244354,20,100,type1,5000
30,0.00571133226710055,20,100,type1,5000
31,0.0058141627655011,20,100,type1,5000
32,0.005894774463760574,20,100,type1,5000
33,0.005949584588948327,20,100,type1,5000
27,0.005975910305189328,20,200,type2,4000
28,0.0061101350851682865,20,200,type2,4000
8,0.00616829616955699,20,300,type3,1000
