,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0,4.96052332710059e-05,20,100,type1,4000
0,0.0001742110506677527,20,200,type2,3000
1,0.00038307835384628373,20,100,type1,4000
2,0.0004907238931722027,20,100,type1,4000
1,0.0006035268748823962,20,200,type2,3000
2,0.0007109105399599432,20,200,type2,3000
3,0.0008406912900256535,20,100,type1,4000
3,0.0010765590517548523,20,200,type2,3000
4,0.0011408777099190047,20,100,type1,4000
0,0.0011916255690216572,20,300,type3,1000
4,0.001212815087491383,20,200,type2,3000
5,0.0013428399472237918,20,200,type2,3000
6,0.0016628257440846005,20,200,type2,3000
1,0.0016943399341261456,20,300,type3,1000
7,0.0017037323391780584,20,200,type2,3000
2,0.0017411552694856396,20,300,type3,1000
8,0.0017498862510502116,20,200,type2,3000
9,0.002007931432483032,20,200,type2,3000
10,0.002106015535882576,20,200,type2,3000
5,0.00231017480038059,20,100,type1,4000
6,0.0023715094856430544,20,100,type1,4000
11,0.0024000038803286736,20,200,type2,3000
12,0.0025242807573106966,20,200,type2,3000
7,0.0029619982468569984,20,100,type1,4000
13,0.003405058378060153,20,200,type2,3000
8,0.0034758243627893235,20,100,type1,4000
9,0.00358060087005402,20,100,type1,4000
10,0.0035913686745050115,20,100,type1,4000
14,0.0036858959530802616,20,200,type2,3000
11,0.0038833913276682345,20,100,type1,4000
12,0.003993116958719162,20,100,type1,4000
3,0.0042022289974010625,20,300,type3,1000
15,0.0042077928248933005,20,200,type2,3000
16,0.004245635258949828,20,200,type2,3000
17,0.004357178921143751,20,200,type2,3000
13,0.004397732022671691,20,100,type1,4000
14,0.004507889485124714,20,100,type1,4000
18,0.004689731446781655,20,200,type2,3000
15,0.004711180976987769,20,100,type1,4000
19,0.00501623346162444,20,200,type2,3000
20,0.005042642824420114,20,200,type2,3000
21,0.005200776145492271,20,200,type2,3000
22,0.005315131853467602,20,200,type2,3000
23,0.005327855579316932,20,200,type2,3000
16,0.005374814102796626,20,100,type1,4000
24,0.005416255442780351,20,200,type2,3000
25,0.005698812515919095,20,200,type2,3000
26,0.0057393337404866955,20,200,type2,3000
17,0.005801065154415783,20,100,type1,4000
27,0.005866479036006597,20,200,type2,3000
18,0.006064459966538495,20,100,type1,4000
19,0.006119938816671076,20,100,type1,4000
20,0.006168934052296844,20,100,type1,4000
21,0.006286885781095281,20,100,type1,4000
4,0.006308508391922509,20,300,type3,1000
5,0.00634787820871522,20,300,type3,1000
28,0.00638437679593657,20,200,type2,3000
29,0.0065251927066173505,20,200,type2,3000
22,0.006558609644015691,20,100,type1,4000
6,0.006740324423344148,20,300,type3,1000
30,0.006752659069181919,20,200,type2,3000
31,0.007015385006175854,20,200,type2,3000
32,0.007244439582151112,20,200,type2,3000
33,0.007475465873196948,20,200,type2,3000
23,0.007537911893663334,20,100,type1,4000
34,0.0075898410192114674,20,200,type2,3000
35,0.0076117418545022094,20,200,type2,3000
7,0.007697223128927135,20,300,type3,1000
24,0.007735516157553653,20,100,type1,4000
8,0.007936920570288587,20,300,type3,1000
25,0.008054378630632101,20,100,type1,4000
26,0.008063258175170621,20,100,type1,4000
27,0.008078587222952923,20,100,type1,4000
36,0.008136915248061281,20,200,type2,3000
37,0.008151181213421933,20,200,type2,3000
28,0.008604409787266905,20,100,type1,4000
9,0.008745450009827628,20,300,type3,1000
29,0.009199679820380011,20,100,type1,4000
30,0.009211301820928768,20,100,type1,4000
31,0.009219409595459948,20,100,type1,4000
32,0.009340858988813991,20,100,type1,4000
33,0.009367209129835848,20,100,type1,4000
34,0.009886576931226949,20,100,type1,4000
35,0.009895934343229506,20,100,type1,4000
36,0.009903411994793283,20,100,type1,4000
38,0.01001322911198743,20,200,type2,3000
37,0.010045759960871984,20,100,type1,4000
39,0.010314378134219563,20,200,type2,3000
38,0.010377562905370577,20,100,type1,4000
10,0.0104467434549784,20,300,type3,1000
40,0.010539643781187729,20,200,type2,3000
41,0.010679208683362423,20,200,type2,3000
39,0.01086324285265208,20,100,type1,4000
42,0.010870910532822091,20,200,type2,3000
40,0.010902524290818505,20,100,type1,4000
41,0.010915496776389602,20,100,type1,4000
42,0.010946607007370854,20,100,type1,4000
43,0.010968059570302805,20,200,type2,3000
44,0.010969466724313147,20,200,type2,3000
43,0.011167544828130269,20,100,type1,4000
44,0.011262453219396302,20,100,type1,4000
45,0.01133140191764211,20,200,type2,3000
46,0.011337640944928836,20,200,type2,3000
45,0.011384194556940654,20,100,type1,4000
47,0.011421232836977319,20,200,type2,3000
48,0.011506010553219134,20,200,type2,3000
11,0.011545057784579897,20,300,type3,1000
12,0.01155931128090001,20,300,type3,1000
46,0.011925436516288029,20,100,type1,4000
47,0.01197593099394377,20,100,type1,4000
48,0.012021288237610919,20,100,type1,4000
13,0.012073160348773346,20,300,type3,1000
49,0.012132145208734782,20,100,type1,4000
49,0.012328273079413393,20,200,type2,3000
50,0.012468610509255811,20,200,type2,3000
51,0.012959486611440835,20,200,type2,3000
50,0.013145464038452681,20,100,type1,4000
51,0.013151116069658818,20,100,type1,4000
52,0.013238219301537485,20,100,type1,4000
53,0.013364066405115007,20,100,type1,4000
54,0.01372062331632662,20,100,type1,4000
55,0.01376077174077487,20,100,type1,4000
52,0.013950914031125552,20,200,type2,3000
56,0.014021783285432724,20,100,type1,4000
53,0.01403851520658499,20,200,type2,3000
57,0.014043752531348172,20,100,type1,4000
54,0.014070632044721806,20,200,type2,3000
14,0.01413199882985472,20,300,type3,1000
55,0.014354854909101045,20,200,type2,3000
15,0.01437723522633657,20,300,type3,1000
58,0.014381615587317376,20,100,type1,4000
16,0.014437676668327197,20,300,type3,1000
56,0.014593521957302279,20,200,type2,3000
57,0.014595891425005569,20,200,type2,3000
58,0.014741582573830089,20,200,type2,3000
59,0.014789414385596023,20,200,type2,3000
59,0.014848792812055842,20,100,type1,4000
60,0.014851856360885523,20,100,type1,4000
60,0.014931301574280263,20,200,type2,3000
61,0.014979639318884574,20,200,type2,3000
17,0.015007120583799142,20,300,type3,1000
62,0.015009062194267474,20,200,type2,3000
18,0.015064884143523794,20,300,type3,1000
61,0.015094458058647321,20,100,type1,4000
63,0.015167696248270492,20,200,type2,3000
64,0.015278866037241311,20,200,type2,3000
62,0.015389504085215106,20,100,type1,4000
63,0.015468954234812225,20,100,type1,4000
64,0.015491714514742306,20,100,type1,4000
65,0.015933035033522253,20,200,type2,3000
65,0.015973397327238906,20,100,type1,4000
66,0.016250287010706133,20,100,type1,4000
67,0.016343903556985614,20,100,type1,4000
66,0.016879012872459017,20,200,type2,3000
68,0.016974283590984487,20,100,type1,4000
67,0.01698306709864488,20,200,type2,3000
69,0.016997020509443014,20,100,type1,4000
68,0.017040713142414593,20,200,type2,3000
70,0.017157779301446182,20,100,type1,4000
19,0.017230299128773694,20,300,type3,1000
20,0.017290414889449924,20,300,type3,1000
71,0.017683656578515963,20,100,type1,4000
21,0.017784406579137765,20,300,type3,1000
72,0.01782539613615633,20,100,type1,4000
69,0.017838459963732796,20,200,type2,3000
70,0.017895197184030685,20,200,type2,3000
73,0.017914944238695277,20,100,type1,4000
22,0.017996823061842204,20,300,type3,1000
23,0.01805834493205254,20,300,type3,1000
24,0.018351500972771335,20,300,type3,1000
74,0.018483200649991007,20,100,type1,4000
75,0.018849852133402588,20,100,type1,4000
76,0.018873367373972365,20,100,type1,4000
25,0.018898929567712646,20,300,type3,1000
71,0.01893269231682758,20,200,type2,3000
72,0.019029476722629994,20,200,type2,3000
73,0.019071216871139732,20,200,type2,3000
77,0.019383886551475885,20,100,type1,4000
74,0.019687331347401024,20,200,type2,3000
26,0.019777715785807143,20,300,type3,1000
78,0.019981474908849786,20,100,type1,4000
79,0.020015958509007673,20,100,type1,4000
80,0.020136868077407374,20,100,type1,4000
75,0.020236058553152334,20,200,type2,3000
27,0.02036163103616171,20,300,type3,1000
28,0.020563087142893288,20,300,type3,1000
29,0.020910839469172365,20,300,type3,1000
81,0.020914358207402596,20,100,type1,4000
76,0.021031593818562264,20,200,type2,3000
77,0.021158799062128194,20,200,type2,3000
82,0.021250104616385542,20,100,type1,4000
78,0.0213103807281035,20,200,type2,3000
83,0.02131787319552576,20,100,type1,4000
79,0.021495660167463564,20,200,type2,3000
84,0.021799512499529293,20,100,type1,4000
80,0.021901767161376973,20,200,type2,3000
81,0.02197255702105078,20,200,type2,3000
85,0.022065940796384506,20,100,type1,4000
30,0.022111968568914536,20,300,type3,1000
86,0.02221747427921803,20,100,type1,4000
87,0.022463293754422537,20,100,type1,4000
31,0.022591033223023582,20,300,type3,1000
82,0.02263583015061788,20,200,type2,3000
32,0.022645280647982716,20,300,type3,1000
83,0.022704985061213843,20,200,type2,3000
88,0.022870254917053787,20,100,type1,4000
84,0.022975676816069966,20,200,type2,3000
89,0.023241205494152074,20,100,type1,4000
90,0.023247683552452214,20,100,type1,4000
33,0.02335891408914561,20,300,type3,1000
91,0.02342761242426186,20,100,type1,4000
92,0.02371005457803188,20,100,type1,4000
85,0.023906631194033155,20,200,type2,3000
93,0.023913110579059687,20,100,type1,4000
34,0.02399254482061491,20,300,type3,1000
94,0.024148952874804633,20,100,type1,4000
95,0.024225399104052723,20,100,type1,4000
96,0.024261552922055767,20,100,type1,4000
35,0.024269436266077686,20,300,type3,1000
86,0.02427420815958393,20,200,type2,3000
36,0.02444676163356787,20,300,type3,1000
97,0.02501419691726137,20,100,type1,4000
98,0.025016766884151626,20,100,type1,4000
87,0.025101559362870472,20,200,type2,3000
99,0.025129861570142905,20,100,type1,4000
88,0.02522744219648716,20,200,type2,3000
100,0.02525447495072019,20,100,type1,4000
101,0.02528038301461805,20,100,type1,4000
89,0.025386601033380574,20,200,type2,3000
102,0.025440654017609296,20,100,type1,4000
103,0.025843161176152617,20,100,type1,4000
37,0.026010424167211662,20,300,type3,1000
104,0.02611783706027861,20,100,type1,4000
105,0.026176943395143787,20,100,type1,4000
106,0.02624054784879931,20,100,type1,4000
38,0.02626248479854239,20,300,type3,1000
107,0.026310966681512123,20,100,type1,4000
108,0.026357935191527886,20,100,type1,4000
109,0.026483021562440954,20,100,type1,4000
90,0.026616885392421293,20,200,type2,3000
91,0.02670448095470397,20,200,type2,3000
39,0.02679565604868174,20,300,type3,1000
110,0.02685271844610566,20,100,type1,4000
92,0.027041053646345004,20,200,type2,3000
111,0.02708061440516819,20,100,type1,4000
93,0.027116863633012602,20,200,type2,3000
112,0.027210493493118878,20,100,type1,4000
40,0.02724928707426477,20,300,type3,1000
113,0.027281790079868563,20,100,type1,4000
94,0.027386064933555176,20,200,type2,3000
114,0.0275854761957108,20,100,type1,4000
95,0.027743034608222375,20,200,type2,3000
96,0.027763321322379766,20,200,type2,3000
97,0.027985313325773767,20,200,type2,3000
115,0.028564326061579312,20,100,type1,4000
116,0.028577696380148034,20,100,type1,4000
98,0.028771296987456403,20,200,type2,3000
99,0.02882794847950152,20,200,type2,3000
41,0.028961456128653914,20,300,type3,1000
42,0.02901159128055958,20,300,type3,1000
43,0.029179723260328503,20,300,type3,1000
117,0.02937484579897129,20,100,type1,4000
100,0.02938443212404009,20,200,type2,3000
44,0.02947826184175032,20,300,type3,1000
118,0.029531414564859252,20,100,type1,4000
119,0.029659427308216246,20,100,type1,4000
120,0.02979600518261415,20,100,type1,4000
121,0.02980959796967073,20,100,type1,4000
122,0.029830903370034814,20,100,type1,4000
101,0.029844596747581557,20,200,type2,3000
45,0.02992284502401191,20,300,type3,1000
102,0.030171628734854503,20,200,type2,3000
123,0.030205370194965542,20,100,type1,4000
124,0.030231828428843383,20,100,type1,4000
103,0.03031450318780353,20,200,type2,3000
125,0.03042908513902222,20,100,type1,4000
