,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0,0.0001635736745904292,100,600,type7,400
0,0.00024104469974759767,100,50,type2,900
1,0.00030488085720435865,100,50,type2,900
0,0.00038966465235189897,100,25,type1,1000
0,0.0007875546593519978,100,500,type6,500
0,0.0015892134681803577,100,100,type3,800
0,0.0016873333627651882,100,200,type4,700
1,0.001741254804643511,100,500,type6,500
1,0.0018456597040357166,100,100,type3,800
2,0.002378649535668701,100,500,type6,500
1,0.002667087003442705,100,200,type4,700
2,0.0027097780054452627,100,200,type4,700
0,0.0029744855836021425,100,900,type10,100
3,0.0032351614210265603,100,200,type4,700
4,0.003304507492459239,100,200,type4,700
3,0.003396145949136259,100,500,type6,500
1,0.0037385918804108548,100,25,type1,1000
1,0.003950485755693554,100,600,type7,400
2,0.004211638234432702,100,50,type2,900
2,0.0048049148550595114,100,25,type1,1000
3,0.005299939078592855,100,25,type1,1000
1,0.005489601273008363,100,900,type10,100
4,0.00549666690121425,100,25,type1,1000
3,0.005604379174127008,100,50,type2,900
5,0.005837649701985589,100,25,type1,1000
4,0.0058600720722282494,100,50,type2,900
2,0.0063885436346551115,100,100,type3,800
5,0.006718843796512007,100,50,type2,900
6,0.00681633309118237,100,50,type2,900
3,0.0069972781640061914,100,100,type3,800
4,0.008036253372977331,100,100,type3,800
5,0.00811347310112891,100,100,type3,800
6,0.008647734927588486,100,25,type1,1000
6,0.00867354612006701,100,100,type3,800
7,0.008923393536770526,100,50,type2,900
4,0.00978563582361568,100,500,type6,500
7,0.009927428515538638,100,25,type1,1000
8,0.010598654752471503,100,50,type2,900
5,0.010732331770834182,100,500,type6,500
6,0.01108333660971847,100,500,type6,500
0,0.011088243402117615,100,700,type8,30
9,0.011160794891060992,100,50,type2,900
8,0.01125837607496113,100,25,type1,1000
9,0.011316689652937122,100,25,type1,1000
10,0.01138780737193832,100,25,type1,1000
7,0.011683453133694269,100,500,type6,500
10,0.012766892989005924,100,50,type2,900
11,0.013281107021735404,100,25,type1,1000
12,0.013329377854518916,100,25,type1,1000
11,0.013360823226169528,100,50,type2,900
13,0.013594337065338672,100,25,type1,1000
14,0.013657861381382148,100,25,type1,1000
7,0.014343621303736231,100,100,type3,800
8,0.01450154461041835,100,100,type3,800
9,0.014839528675713745,100,100,type3,800
12,0.015479370823977698,100,50,type2,900
13,0.015554516014050897,100,50,type2,900
8,0.015624750373623349,100,500,type6,500
14,0.01573596202502958,100,50,type2,900
2,0.01592628791848019,100,600,type7,400
15,0.01604918910395993,100,25,type1,1000
9,0.016112907563891325,100,500,type6,500
15,0.01643676835870084,100,50,type2,900
16,0.01648746086754474,100,25,type1,1000
5,0.01669844913628344,100,200,type4,70
17,0.016734348042989837,100,25,type1,1000
18,0.01694175916193874,100,25,type1,1000
6,0.016955205200422933,100,200,type4,700
19,0.01698585499855984,100,25,type1,1000
20,0.016990420473154192,100,25,type1,1000
21,0.017015704070640316,100,25,type1,1000
10,0.017270221249599416,100,100,type3,800
0,0.01729396265233267,100,400,type5,60
3,0.017298743250827548,100,600,type7,400
11,0.0177149001325737,100,100,type3,800
10,0.017736928321142435,100,500,type6,500
11,0.01778858219096632,100,500,type6,500
22,0.01813720158131129,100,25,type1,1000
1,0.018139367554335827,100,700,type8,30
4,0.01816916041336212,100,600,type7,400
12,0.01835841400658145,100,500,type6,500
23,0.01886787595225024,100,25,type1,1000
13,0.018897166170011394,100,500,type6,500
24,0.019247201642883776,100,25,type1,1000
14,0.019462795584345393,100,500,type6,500
7,0.019850271457210508,100,200,type4,700
0,0.01995595094592008,100,800,type9,20
8,0.02015417473186606,100,200,type4,700
15,0.020224483268161935,100,500,type6,500
16,0.0202319780499339,100,50,type2,900
9,0.02027665925983617,100,200,type4,700
1,0.020476771260528496,100,800,type9,20
2,0.020745811986106644,100,900,type10,100
10,0.020850298950108464,100,200,type4,700
12,0.020894999125958248,100,100,type3,800
17,0.02093072739849343,100,50,type2,900
18,0.021249363574177543,100,50,type2,900
5,0.021604156862819673,100,600,type7,400
13,0.02198343229932206,100,100,type3,800
14,0.0221431468199333,100,100,type3,800
19,0.022283653891483336,100,50,type2,900
25,0.02236887517961115,100,25,type1,1000
20,0.02244033339917559,100,50,type2,900
21,0.022723127332302626,100,50,type2,900
16,0.02281650988491143,100,500,type6,500
11,0.02320034782521553,100,200,type4,700
15,0.023375610909939372,100,100,type3,800
22,0.023513691808999326,100,50,type2,900
6,0.02444161016718346,100,600,type7,400
12,0.024536348778933244,100,200,type4,700
1,0.024839687296899036,100,400,type5,60
23,0.025458931012302285,100,50,type2,900
16,0.025655584474170413,100,100,type3,800
17,0.025735177574978,100,100,type3,800
24,0.026118665779139974,100,50,type2,900
18,0.026195977578930246,100,100,type3,800
17,0.026315997015857667,100,500,type6,500
26,0.0263263965112487,100,25,type1,1000
25,0.02734635096324435,100,50,type2,900
19,0.027613377276849774,100,100,type3,800
20,0.02779267354883473,100,100,type3,800
7,0.028252614125110695,100,600,type7,400
8,0.028503214568992064,100,600,type7,400
18,0.028785889153306,100,500,type6,500
26,0.0289182036054101,100,50,type2,900
27,0.02905834153712577,100,50,type2,900
27,0.02990885968145175,100,25,type1,1000
21,0.029912913416608664,100,100,type3,800
19,0.02999123833097379,100,500,type6,500
28,0.030581721274693465,100,50,type2,900
20,0.03074411719461654,100,500,type6,500
29,0.03222047992016439,100,50,type2,900
28,0.032471467744017414,100,25,type1,1000
29,0.03360557260771009,100,25,type1,1000
30,0.03363053270603851,100,50,type2,900
31,0.0338159063732184,100,50,type2,900
32,0.033934312501079804,100,50,type2,900
21,0.034424116210121654,100,500,type6,500
9,0.03454182808558825,100,600,type7,400
22,0.035160846438778336,100,100,type3,800
22,0.03524861348727326,100,500,type6,500
23,0.035599638095022035,100,500,type6,500
23,0.036015660935134114,100,100,type3,800
30,0.03633095181137645,100,25,type1,1000
33,0.036576802523296044,100,50,type2,900
24,0.03665769692502717,100,500,type6,500
31,0.036770634790080796,100,25,type1,1000
32,0.03701557436560982,100,25,type1,1000
24,0.037266109803989915,100,100,type3,800
25,0.03728283275341464,100,500,type6,500
33,0.03732367437490807,100,25,type1,1000
34,0.03736547390985554,100,25,type1,1000
13,0.03746230425437906,100,200,type4,70
3,0.03748654113984885,100,900,type10,100
10,0.0378189309883039,100,600,type7,400
35,0.038243314011376664,100,25,type1,1000
36,0.038312674800522674,100,25,type1,1000
34,0.03837166131366681,100,50,type2,900
35,0.038774823643604225,100,50,type2,900
26,0.03982080739450354,100,500,type6,500
36,0.03987721080965631,100,50,type2,900
37,0.040874649271875195,100,50,type2,900
37,0.040883711318664015,100,25,type1,1000
38,0.04093043496193398,100,50,type2,900
27,0.04093089417100872,100,500,type6,500
25,0.041458961050894916,100,100,type3,800
11,0.041724257812470515,100,600,type7,400
26,0.04174718411927126,100,100,type3,800
38,0.04182812038732473,100,25,type1,1000
39,0.04185013576266516,100,50,type2,900
12,0.041910288252893405,100,600,type7,400
27,0.042085106075033435,100,100,type3,800
13,0.0425748146238479,100,600,type7,400
40,0.04259864329080395,100,50,type2,900
41,0.04311674644335361,100,50,type2,900
28,0.0434134123305689,100,100,type3,800
42,0.044396033420952837,100,50,type2,900
29,0.04451111342291311,100,100,type3,800
43,0.04475385053152382,100,50,type2,900
44,0.045088712955825914,100,50,type2,900
45,0.04516647616229998,100,50,type2,900
46,0.04530840450402736,100,50,type2,900
39,0.04552464185352511,100,25,type1,1000
30,0.045906451364427746,100,100,type3,800
14,0.046023587081833496,100,600,type7,400
28,0.04621435305833718,100,500,type6,500
15,0.04623464184541867,100,600,type7,400
29,0.046244150678443834,100,500,type6,500
47,0.046249835314631664,100,50,type2,900
16,0.046473273909958174,100,600,type7,400
48,0.04666960281907129,100,50,type2,900
40,0.046744157956378346,100,25,type1,1000
41,0.04708856879714422,100,25,type1,1000
42,0.04751776025191111,100,25,type1,1000
2,0.04773561882820985,100,400,type5,60
49,0.04793769728258708,100,50,type2,900
43,0.04847246921733898,100,25,type1,1000
44,0.04860133196937585,100,25,type1,1000
30,0.048753036354640504,100,500,type6,500
31,0.04875555958091511,100,100,type3,800
