,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0,0.00010416428097321795,20,100,type1,5000
0,0.00012087562955839455,20,200,type2,4000
1,0.00024335074770259117,20,100,type1,5000
2,0.00026178063312521434,20,100,type1,5000
1,0.000373062994304193,20,200,type2,4000
2,0.0005644066837374243,20,200,type2,4000
3,0.0007041040166099745,20,100,type1,5000
4,0.0007800107218072179,20,100,type1,5000
3,0.0008191999568473698,20,200,type2,4000
4,0.0008864848622580818,20,200,type2,4000
5,0.0009039527298803082,20,200,type2,4000
6,0.0009043334888403737,20,200,type2,4000
5,0.0011208368313259157,20,100,type1,5000
7,0.0011840233688179464,20,200,type2,4000
8,0.0011961735486769951,20,200,type2,4000
0,0.0012199132705451314,20,300,type3,1000
9,0.001548218116926433,20,200,type2,4000
1,0.0016435922735858496,20,300,type3,1000
6,0.0016461655751723362,20,100,type1,5000
7,0.0016859369193760465,20,100,type1,5000
2,0.0018254998257222314,20,300,type3,1000
8,0.0018331510702075569,20,100,type1,5000
9,0.0018404659827344248,20,100,type1,5000
10,0.0018924542733889315,20,200,type2,4000
10,0.0021296709389370012,20,100,type1,5000
11,0.0022943259538705267,20,200,type2,4000
12,0.002547352075377342,20,200,type2,4000
13,0.002562057552748515,20,200,type2,4000
11,0.0025730037388850863,20,100,type1,5000
12,0.002653798065182821,20,100,type1,5000
13,0.002718123229458636,20,100,type1,5000
14,0.002877170526005263,20,100,type1,5000
14,0.0029271864797832336,20,200,type2,4000
15,0.0030959071041243903,20,200,type2,4000
15,0.003141105831635413,20,100,type1,5000
16,0.003341450279921827,20,100,type1,5000
3,0.003417255910210743,20,300,type3,1000
17,0.003461549908721268,20,100,type1,5000
18,0.0034672163256379562,20,100,type1,5000
19,0.0034740521473945406,20,100,type1,5000
16,0.0035172599029942744,20,200,type2,4000
4,0.0035684560318261904,20,300,type3,1000
5,0.0036443791189202297,20,300,type3,1000
6,0.0036918881346620237,20,300,type3,1000
7,0.003926706127010113,20,300,type3,1000
17,0.004246301706368948,20,200,type2,4000
18,0.004392303809135337,20,200,type2,4000
20,0.004581712672293017,20,100,type1,5000
19,0.004601923121041008,20,200,type2,4000
21,0.0046524063136932185,20,100,type1,5000
8,0.00466131466074876,20,300,type3,1000
22,0.004781574220524038,20,100,type1,5000
23,0.0048708876824030325,20,100,type1,5000
9,0.004955949411207388,20,300,type3,1000
10,0.005327252737386084,20,300,type3,1000
24,0.005363432119233524,20,100,type1,5000
20,0.0053792007538957355,20,200,type2,4000
21,0.005408282113031941,20,200,type2,4000
22,0.005439821857078731,20,200,type2,4000
23,0.005475729967943546,20,200,type2,4000
24,0.005505255805982591,20,200,type2,4000
25,0.005535430594012059,20,100,type1,5000
25,0.0056019837355185,20,200,type2,4000
26,0.006083776736492191,20,100,type1,5000
27,0.006149081984616367,20,100,type1,5000
11,0.006214027437243288,20,300,type3,1000
28,0.006221142289565948,20,100,type1,5000
26,0.006290610328720731,20,200,type2,4000
27,0.006376666558235742,20,200,type2,4000
29,0.0064211684011747224,20,100,type1,5000
28,0.00657414488530427,20,200,type2,4000
30,0.00667502178000256,20,100,type1,5000
29,0.006895387749193065,20,200,type2,4000
30,0.00710326164179702,20,200,type2,4000
31,0.007213689314653913,20,200,type2,4000
32,0.007412003482110018,20,200,type2,4000
31,0.007448444719035331,20,100,type1,5000
32,0.007508370385491854,20,100,type1,5000
33,0.007569173795175901,20,100,type1,5000
33,0.007829851007675857,20,200,type2,4000
12,0.00783618339103454,20,300,type3,1000
34,0.00802472742703976,20,200,type2,4000
35,0.00834874186979515,20,200,type2,4000
36,0.0084285146497098,20,200,type2,4000
34,0.008927611812839405,20,100,type1,5000
35,0.008988613560505777,20,100,type1,5000
