,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0,9.461521786291583e-06,10,20,type2,1000
0,7.078119359557963e-05,10,10,type1,1000
1,0.000271618522608531,10,20,type2,1000
2,0.0010797179802898356,10,20,type2,1000
1,0.0020549210792225494,10,10,type1,1000
3,0.0024938751455668706,10,20,type2,1000
2,0.0028190353763692427,10,10,type1,1000
4,0.00337512742582905,10,20,type2,1000
5,0.004961589790936555,10,20,type2,1000
6,0.005547096644861138,10,20,type2,1000
3,0.0056921259813966655,10,10,type1,1000
7,0.005850937979754663,10,20,type2,1000
4,0.0058778764543721326,10,10,type1,1000
5,0.006439459280775386,10,10,type1,1000
8,0.007789655595194963,10,20,type2,1000
6,0.009302389925595508,10,10,type1,1000
9,0.009776708410130796,10,20,type2,1000
10,0.009945635383205743,10,20,type2,1000
11,0.010365431238252067,10,20,type2,1000
7,0.010618151398665045,10,10,type1,1000
12,0.011649843398862216,10,20,type2,1000
13,0.01172082147122987,10,20,type2,1000
14,0.011774020585415754,10,20,type2,1000
8,0.011843606318690003,10,10,type1,1000
15,0.01203734277738382,10,20,type2,1000
9,0.01231212679154358,10,10,type1,1000
16,0.01247736382270715,10,20,type2,1000
17,0.01273885209731713,10,20,type2,1000
10,0.012830237682161641,10,10,type1,1000
18,0.013029346077161517,10,20,type2,1000
19,0.014276587184280437,10,20,type2,1000
11,0.014551068057330734,10,10,type1,1000
20,0.014900777289099623,10,20,type2,1000
12,0.015006722539250965,10,10,type1,1000
13,0.015140938594078035,10,10,type1,1000
21,0.015522225680899145,10,20,type2,1000
22,0.01644854766771762,10,20,type2,1000
23,0.01659628770137981,10,20,type2,1000
14,0.017867520710273456,10,10,type1,1000
15,0.01880741654034112,10,10,type1,1000
16,0.018811949561159898,10,10,type1,1000
24,0.019412596574486785,10,20,type2,1000
17,0.02009962735598813,10,10,type1,1000
25,0.02013491097378427,10,20,type2,1000
26,0.02059541983414692,10,20,type2,1000
27,0.02108845871572256,10,20,type2,1000
28,0.021648668728746545,10,20,type2,1000
29,0.02210430923008393,10,20,type2,1000
30,0.022272625464384348,10,20,type2,1000
31,0.022448966363651533,10,20,type2,1000
32,0.02299286051270829,10,20,type2,1000
33,0.023569380162724207,10,20,type2,1000
18,0.024036189919343243,10,10,type1,1000
34,0.024045010260584573,10,20,type2,1000
19,0.024127210526166926,10,10,type1,1000
35,0.0246560795348421,10,20,type2,1000
20,0.02491216205929309,10,10,type1,1000
21,0.026283911010515717,10,10,type1,1000
22,0.02653526555337441,10,10,type1,1000
23,0.027143530132616476,10,10,type1,1000
36,0.02752676978076677,10,20,type2,1000
24,0.028738525135225436,10,10,type1,1000
25,0.028849096790780866,10,10,type1,1000
37,0.029103838325102185,10,20,type2,1000
26,0.02966198118527263,10,10,type1,1000
38,0.03072645188843684,10,20,type2,1000
27,0.03078829262506321,10,10,type1,1000
28,0.03088986749405936,10,10,type1,1000
29,0.03160877630883811,10,10,type1,1000
39,0.03257122886852381,10,20,type2,1000
30,0.033109294546602074,10,10,type1,1000
31,0.03335968540256695,10,10,type1,1000
40,0.03403633037265257,10,20,type2,1000
32,0.03405613226642884,10,10,type1,1000
41,0.03443595199945331,10,20,type2,1000
33,0.034682756474023274,10,10,type1,1000
34,0.03474946061128113,10,10,type1,1000
35,0.035036302977665655,10,10,type1,1000
36,0.036742166251720644,10,10,type1,1000
42,0.036931529299189074,10,20,type2,1000
43,0.037758688281654115,10,20,type2,1000
44,0.038311967373089756,10,20,type2,1000
37,0.03847886138411217,10,10,type1,1000
45,0.038722818808429406,10,20,type2,1000
38,0.03897701362323648,10,10,type1,1000
46,0.03977454302056383,10,20,type2,1000
47,0.03997449184363977,10,20,type2,1000
39,0.040848132156779425,10,10,type1,1000
48,0.04133373633700571,10,20,type2,1000
40,0.043060452120557965,10,10,type1,1000
49,0.04348406547025651,10,20,type2,1000
41,0.04373948025586757,10,10,type1,1000
50,0.044637844564962365,10,20,type2,1000
42,0.046702333936496455,10,10,type1,1000
43,0.04716326940650092,10,10,type1,1000
51,0.04760836720642049,10,20,type2,1000
52,0.04780423225431581,10,20,type2,1000
44,0.04793224895412516,10,10,type1,1000
53,0.04803345955885164,10,20,type2,1000
45,0.0486931821820112,10,10,type1,1000
46,0.04928988887143771,10,10,type1,1000
54,0.04976443959544488,10,20,type2,1000
55,0.05014797515392286,10,20,type2,1000
47,0.05027422822440532,10,10,type1,1000
48,0.05073448174528449,10,10,type1,1000
56,0.05105593384404543,10,20,type2,1000
57,0.05134720797195761,10,20,type2,1000
58,0.05147895692228967,10,20,type2,1000
49,0.05194571580659747,10,10,type1,1000
50,0.05268610651678945,10,10,type1,1000
59,0.05291301360250971,10,20,type2,1000
51,0.0536664775071629,10,10,type1,1000
52,0.054096151486492626,10,10,type1,1000
53,0.05414990255553337,10,10,type1,1000
60,0.05496663365598027,10,20,type2,1000
61,0.05509281086619671,10,20,type2,1000
54,0.05550370247561695,10,10,type1,1000
55,0.056446607130014446,10,10,type1,1000
62,0.056761957504829985,10,20,type2,1000
