,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type
0,0.0005893388856144786,25,25,type1
1,0.006312731041825969,25,25,type1
0,0.013298783102291968,25,175,type4
0,0.0158379589250355,25,75,type2
2,0.017995008213897285,25,25,type1
3,0.023335460077626314,25,25,type1
4,0.05147678600277151,25,25,type1
1,0.07983933164178153,25,175,type4
5,0.08541602607230872,25,25,type1
6,0.09532106844510198,25,25,type1
7,0.0971138375269593,25,25,type1
0,0.10868473762987188,25,125,type3
8,0.11121266933565889,25,25,type1
1,0.11524206568221491,25,75,type2
9,0.11909667023432108,25,25,type1
2,0.13121313067204832,25,175,type4
10,0.13822032105030932,25,25,type1
11,0.1435940475467384,25,25,type1
1,0.14757971706951106,25,125,type3
2,0.14760912352414496,25,125,type3
3,0.15281669435507336,25,125,type3
2,0.15914798235199254,25,75,type2
3,0.16240882209819443,25,175,type4
12,0.19164957328892865,25,25,type1
4,0.19311773918674152,25,125,type3
5,0.1941579918661382,25,125,type3
4,0.1942107287410183,25,175,type4
6,0.2000498300761201,25,125,type3
13,0.2293083001401474,25,25,type1
5,0.23468811872752438,25,175,type4
14,0.23562375306219183,25,25,type1
3,0.25141832100168415,25,75,type2
7,0.25192355140189054,25,125,type3
8,0.2607738726068255,25,125,type3
15,0.2707803961265981,25,25,type1
16,0.27739079602042305,25,25,type1
4,0.2850548473457218,25,75,type2
5,0.3117623856762719,25,75,type2
17,0.3316967044749936,25,25,type1
18,0.335460830480718,25,25,type1
6,0.35936716518398415,25,75,type2
9,0.3622002360001311,25,125,type3
10,0.3633809772757698,25,125,type3
19,0.36401209265750517,25,25,type1
20,0.3705347945277083,25,25,type1
11,0.39654298102760477,25,125,type3
21,0.40825692775903943,25,25,type1
22,0.4114917889803071,25,25,type1
23,0.41376383796661453,25,25,type1
7,0.4217418918867161,25,75,type2
12,0.42781236183722754,25,125,type3
8,0.4338686749342608,25,75,type2
9,0.44387574915365463,25,75,type2
24,0.44686968511339015,25,25,type1
25,0.4752724005785357,25,25,type1
13,0.48636837389930615,25,125,type3
14,0.5096435062164969,25,125,type3
15,0.5177009021517134,25,125,type3
16,0.5314950159664117,25,125,type3
17,0.5357133297535007,25,125,type3
26,0.5376694628858791,25,25,type1
18,0.5384745318818849,25,125,type3
27,0.539422778021934,25,25,type1
10,0.5440166815436358,25,75,type2
11,0.5600774127500385,25,75,type2
28,0.5640716905100905,25,25,type1
29,0.5746932273536645,25,25,type1
30,0.5825399134793884,25,25,type1
31,0.5976057773553016,25,25,type1
32,0.6120970532184271,25,25,type1
19,0.6143868910414545,25,125,type3
33,0.627674422313984,25,25,type1
34,0.6524793211323897,25,25,type1
20,0.6566189096307694,25,125,type3
35,0.6639748514020637,25,25,type1
36,0.6788866783243935,25,25,type1
21,0.6810848277230203,25,125,type3
22,0.6845547682489488,25,125,type3
12,0.7042336158390392,25,75,type2
37,0.7109133930678126,25,25,type1
38,0.7188869375958982,25,25,type1
13,0.7233107148234117,25,75,type2
39,0.7246378602129125,25,25,type1
23,0.7269624127820087,25,125,type3
24,0.7475734900151287,25,125,type3
40,0.7495959805582996,25,25,type1
41,0.7644683697746008,25,25,type1
42,0.7867619452277659,25,25,type1
25,0.7960919338595045,25,125,type3
43,0.8004197406233949,25,25,type1
44,0.8378595941022209,25,25,type1
45,0.8416464007625599,25,25,type1
14,0.8451365649643334,25,75,type2
46,0.8627706337248598,25,25,type1
26,0.881158296207265,25,125,type3
47,0.8935576969832625,25,25,type1
48,0.8976180783291233,25,25,type1
27,0.9018492568250531,25,125,type3
15,0.9161051309171444,25,75,type2
49,0.9186337714138463,25,25,type1
50,0.9340279449774089,25,25,type1
51,0.9403400002191047,25,25,type1
16,0.9438152998173881,25,75,type2
52,0.9454306037605128,25,25,type1
53,0.9572491480032476,25,25,type1
17,0.9590530383567062,25,75,type2
54,0.9692223148899789,25,25,type1
18,0.9708413877201824,25,75,type2
55,0.9745158662412419,25,25,type1
28,1.0088010206882243,25,125,type3
56,1.0164299007130704,25,25,type1
29,1.0270319505724832,25,125,type3
57,1.0313116860359608,25,25,type1
58,1.0342826042157809,25,25,type1
19,1.0528761236231543,25,75,type2
20,1.0544466515340385,25,75,type2
6,1.0568674331149799,25,175,type4
21,1.0663915519309488,25,75,type2
59,1.0674598875082555,25,25,type1
60,1.0819261141802778,25,25,type1
7,1.085908116308632,25,175,type4
22,1.0951819384891939,25,75,type2
61,1.0981781474048538,25,25,type1
62,1.1137864654474685,25,25,type1
30,1.1142330984790338,25,125,type3
63,1.143955004030012,25,25,type1
64,1.145371417442383,25,25,type1
23,1.1510510392725588,25,75,type2
65,1.1767362302621223,25,25,type1
66,1.1783397355704472,25,25,type1
24,1.179613994210147,25,75,type2
25,1.1841357373743375,25,75,type2
26,1.1865837495078946,25,75,type2
67,1.188102814751383,25,25,type1
8,1.189654159841277,25,175,type4
31,1.2151004595887338,25,125,type3
9,1.2213412080377934,25,175,type4
27,1.22281180545797,25,75,type2
68,1.2283261207509881,25,25,type1
69,1.245482449881117,25,25,type1
70,1.247229034785803,25,25,type1
10,1.2532028755002924,25,175,type4
28,1.2567120480368648,25,75,type2
71,1.2573977301365198,25,25,type1
29,1.2602963138734342,25,75,type2
72,1.2619118360900348,25,25,type1
32,1.2621109915832482,25,125,type3
73,1.284082944180638,25,25,type1
74,1.3014399515420945,25,25,type1
11,1.33219218696502,25,175,type4
30,1.374957826720813,25,75,type2
75,1.3773816253405713,25,25,type1
31,1.4081675226533132,25,75,type2
12,1.4099702256767477,25,175,type4
13,1.4204230733030307,25,175,type4
32,1.4224470919567234,25,75,type2
14,1.425936192033937,25,175,type4
15,1.4274476294116156,25,175,type4
