arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0.020700571,25,175,type4,25
0.044380267,25,25,type1,50
0.048327586,25,175,type4,25
0.054859977,25,175,type4,25
0.057627695,25,75,type2,20
0.076845496,25,25,type1,50
0.089434872,25,75,type2,20
0.094385391,25,125,type3,50
0.105580375,25,75,type2,20
0.115728685,25,25,type1,50
0.127912015,25,125,type3,50
0.138493995,25,25,type1,50
0.139150288,25,25,type1,50
0.145288996,25,25,type1,50
0.147191134,25,125,type3,50
0.153055754,25,125,type3,50
0.157213882,25,125,type3,50
0.159665091,25,125,type3,50
0.169183088,25,125,type3,50
0.178829225,25,125,type3,50
0.20640673,25,175,type4,25
0.20725987,25,25,type1,50
0.216451958,25,25,type1,50
0.219616553,25,25,type1,50
0.21992065,25,25,type1,50
0.230927074,25,125,type3,50
0.238109966,25,175,type4,25
0.244840372,25,25,type1,50
0.249912775,25,75,type2,20
0.255022595,25,125,type3,50
0.262400522,25,125,type3,50
0.26670022,25,125,type3,50
0.276879439,25,125,type3,50
0.288370313,25,25,type1,50
0.312347357,25,125,type3,50
0.32670435,25,75,type2,20
0.334191473,25,125,type3,50
0.337795926,25,75,type2,20
0.34885086,25,75,type2,20
0.353039869,25,175,type4,25
0.35324669,25,25,type1,50
0.358184092,25,125,type3,50
0.3640388,25,25,type1,50
0.364044378,25,175,type4,25
0.367791113,25,125,type3,50
0.368199655,25,175,type4,25
0.375107665,25,125,type3,50
0.377777064,25,175,type4,25
0.392914854,25,125,type3,50
0.400233065,25,125,type3,50
0.407871821,25,125,type3,50
0.408456023,25,25,type1,50
0.410394739,25,25,type1,50
0.4217298,25,125,type3,50
0.42537658,25,125,type3,50
0.432903396,25,175,type4,25
0.436841981,25,125,type3,50
0.438473972,25,125,type3,50
0.442890494,25,25,type1,50
0.444086486,25,175,type4,25
0.452014342,25,125,type3,50
0.465268323,25,75,type2,20
0.466724778,25,125,type3,50
0.469762408,25,75,type2,20
0.487450598,25,25,type1,50
0.490036936,25,125,type3,50
0.490196244,25,175,type4,25
0.500575846,25,125,type3,50
0.514244245,25,125,type3,50
0.516240896,25,75,type2,20
0.519467061,25,125,type3,50
0.519479874,25,25,type1,50
0.53448887,25,75,type2,20
0.538690892,25,125,type3,50
0.548122701,25,125,type3,50
0.555276958,25,25,type1,50
0.567662728,25,125,type3,50
0.568072574,25,25,type1,50
0.578167366,25,25,type1,50
0.588363063,25,125,type3,50
0.593726285,25,25,type1,50
0.600417001,25,125,type3,50
0.602280136,25,25,type1,50
0.61494826,25,75,type2,20
0.624721268,25,125,type3,50
0.626575375,25,25,type1,50
0.64572633,25,25,type1,50
0.652069533,25,75,type2,20
0.655329269,25,25,type1,50
0.66347495,25,125,type3,50
0.680863811,25,175,type4,25
0.686084874,25,175,type4,25
0.694731383,25,125,type3,50
0.697320272,25,125,type3,50
0.698000013,25,75,type2,20
0.698606159,25,175,type4,25
0.699151555,25,75,type2,20
0.702185209,25,125,type3,50
0.708335015,25,125,type3,50
0.712473579,25,25,type1,50
0.719198915,25,25,type1,50
0.719303863,25,25,type1,50
0.721361018,25,25,type1,50
0.72146094,25,125,type3,50
0.724956514,25,25,type1,50
0.725052872,25,125,type3,50
0.730990497,25,25,type1,50
0.74035985,25,25,type1,50
0.75779183,25,175,type4,25
0.785070202,25,25,type1,50
0.800447075,25,75,type2,20
0.801767913,25,25,type1,50
0.817217655,25,25,type1,50
0.820328739,25,25,type1,50
0.820352309,25,25,type1,50
0.821313995,25,75,type2,20
0.826921133,25,125,type3,50
0.83895922,25,25,type1,50
0.84313541,25,175,type4,25
0.869750797,25,25,type1,50
0.875850163,25,25,type1,50
0.887071451,25,75,type2,20
0.894176305,25,25,type1,50
0.902898282,25,25,type1,50
0.910724386,25,175,type4,25
0.914085024,25,75,type2,20
0.925135731,25,25,type1,50
0.942868594,25,125,type3,50
0.955463906,25,75,type2,20
