,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type
0,0.000313704,20,100,type1
1,0.001442627,20,100,type1
2,0.002436438,20,100,type1
3,0.005379157,20,100,type1
0,0.006970382,20,300,type2
4,0.015630634,20,100,type1
5,0.01793896,20,100,type1
6,0.022088609,20,100,type1
7,0.025888666,20,100,type1
8,0.031616852,20,100,type1
9,0.033440648,20,100,type1
10,0.034268147,20,100,type1
11,0.040310483,20,100,type1
12,0.048149227,20,100,type1
13,0.054879691,20,100,type1
14,0.054944621,20,100,type1
15,0.055493508,20,100,type1
16,0.056645549,20,100,type1
17,0.057604002,20,100,type1
18,0.063362838,20,100,type1
19,0.067635717,20,100,type1
20,0.068445386,20,100,type1
21,0.069151368,20,100,type1
22,0.070496088,20,100,type1
23,0.071675375,20,100,type1
1,0.073145651,20,300,type2
24,0.075752309,20,100,type1
25,0.082834011,20,100,type1
26,0.088844677,20,100,type1
27,0.089066189,20,100,type1
28,0.090647802,20,100,type1
29,0.092895201,20,100,type1
30,0.094051844,20,100,type1
31,0.106639894,20,100,type1
32,0.107080199,20,100,type1
2,0.107879704,20,300,type2
33,0.109002526,20,100,type1
34,0.110005228,20,100,type1
35,0.11212107,20,100,type1
36,0.113086232,20,100,type1
37,0.113855256,20,100,type1
38,0.116454002,20,100,type1
39,0.116885618,20,100,type1
40,0.118836412,20,100,type1
41,0.121151693,20,100,type1
3,0.124083614,20,300,type2
42,0.128428427,20,100,type1
43,0.130563435,20,100,type1
44,0.131441888,20,100,type1
45,0.131847844,20,100,type1
46,0.13363834,20,100,type1
47,0.134026524,20,100,type1
48,0.139307639,20,100,type1
49,0.140835802,20,100,type1
50,0.142374349,20,100,type1
51,0.145055127,20,100,type1
52,0.15705069,20,100,type1
53,0.168277405,20,100,type1
54,0.172192516,20,100,type1
55,0.173225337,20,100,type1
56,0.178270296,20,100,type1
57,0.181098859,20,100,type1
4,0.182226552,20,300,type2
58,0.189342743,20,100,type1
59,0.194928961,20,100,type1
60,0.195828292,20,100,type1
61,0.198566115,20,100,type1
62,0.200651454,20,100,type1
63,0.202946255,20,100,type1
64,0.206649468,20,100,type1
65,0.211477043,20,100,type1
66,0.214002187,20,100,type1
67,0.226861105,20,100,type1
68,0.230845216,20,100,type1
69,0.233097961,20,100,type1
70,0.239464969,20,100,type1
71,0.239494194,20,100,type1
72,0.240557227,20,100,type1
73,0.242195262,20,100,type1
74,0.248700003,20,100,type1
75,0.251396595,20,100,type1
76,0.257707186,20,100,type1
77,0.260720507,20,100,type1
78,0.264672039,20,100,type1
79,0.265749214,20,100,type1
80,0.266518719,20,100,type1
81,0.281570151,20,100,type1
5,0.282024402,20,300,type2
82,0.282176581,20,100,type1
83,0.282565158,20,100,type1
84,0.284789303,20,100,type1
85,0.291920009,20,100,type1
86,0.29260369,20,100,type1
87,0.297300166,20,100,type1
88,0.301988139,20,100,type1
89,0.304840932,20,100,type1
90,0.306927122,20,100,type1
91,0.309065867,20,100,type1
92,0.3103891,20,100,type1
93,0.310434853,20,100,type1
94,0.320269994,20,100,type1
95,0.343165941,20,100,type1
96,0.346188596,20,100,type1
97,0.347610212,20,100,type1
98,0.356734877,20,100,type1
99,0.365241953,20,100,type1
100,0.365463439,20,100,type1
101,0.377296699,20,100,type1
102,0.380312196,20,100,type1
103,0.381949392,20,100,type1
104,0.382967564,20,100,type1
105,0.385996761,20,100,type1
106,0.391290055,20,100,type1
107,0.396385684,20,100,type1
108,0.398425372,20,100,type1
109,0.402598025,20,100,type1
110,0.408266504,20,100,type1
111,0.409686103,20,100,type1
112,0.413580817,20,100,type1
113,0.414863813,20,100,type1
114,0.420860229,20,100,type1
115,0.42112443,20,100,type1
116,0.421768005,20,100,type1
117,0.424609243,20,100,type1
118,0.429173954,20,100,type1
119,0.429629275,20,100,type1
120,0.440903068,20,100,type1
121,0.442468429,20,100,type1
122,0.443866562,20,100,type1
123,0.445931573,20,100,type1
124,0.448668245,20,100,type1
6,0.449077484,20,300,type2
125,0.450551574,20,100,type1
126,0.451816949,20,100,type1
127,0.451907581,20,100,type1
128,0.464628155,20,100,type1
129,0.464820451,20,100,type1
7,0.470156798,20,300,type2
130,0.472959827,20,100,type1
131,0.473814915,20,100,type1
132,0.474963148,20,100,type1
133,0.493112347,20,100,type1
134,0.49765756,20,100,type1
135,0.498070746,20,100,type1
136,0.498214585,20,100,type1
137,0.505949373,20,100,type1
138,0.508319217,20,100,type1
139,0.512176873,20,100,type1
140,0.516276639,20,100,type1
8,0.520367461,20,300,type2
141,0.521225375,20,100,type1
9,0.52170447,20,300,type2
142,0.522609681,20,100,type1
143,0.523325501,20,100,type1
144,0.525675573,20,100,type1
145,0.529738844,20,100,type1
146,0.532263912,20,100,type1
147,0.533415827,20,100,type1
148,0.535612702,20,100,type1
149,0.540604557,20,100,type1
150,0.541204473,20,100,type1
151,0.543256875,20,100,type1
152,0.552445962,20,100,type1
153,0.553972174,20,100,type1
10,0.559494628,20,300,type2
154,0.560949967,20,100,type1
155,0.562767368,20,100,type1
156,0.563454785,20,100,type1
157,0.568240409,20,100,type1
158,0.575528005,20,100,type1
159,0.579693355,20,100,type1
160,0.580218986,20,100,type1
161,0.584894635,20,100,type1
162,0.591838219,20,100,type1
163,0.592208069,20,100,type1
164,0.593429426,20,100,type1
165,0.596983414,20,100,type1
166,0.599940041,20,100,type1
167,0.608053097,20,100,type1
168,0.612520498,20,100,type1
169,0.616249466,20,100,type1
170,0.616633542,20,100,type1
171,0.619793166,20,100,type1
172,0.620451949,20,100,type1
173,0.626575869,20,100,type1
174,0.627828348,20,100,type1
175,0.629202188,20,100,type1
176,0.630010625,20,100,type1
177,0.632324875,20,100,type1
178,0.634926469,20,100,type1
179,0.637546785,20,100,type1
180,0.638093694,20,100,type1
181,0.640892662,20,100,type1
182,0.641117685,20,100,type1
183,0.655558457,20,100,type1
184,0.666525607,20,100,type1
185,0.667368274,20,100,type1
186,0.668087754,20,100,type1
187,0.671624665,20,100,type1
188,0.671660397,20,100,type1
189,0.67664571,20,100,type1
190,0.680135072,20,100,type1
191,0.682974005,20,100,type1
11,0.685907515,20,300,type2
192,0.686918766,20,100,type1
193,0.691493071,20,100,type1
194,0.694065777,20,100,type1
195,0.697611787,20,100,type1
196,0.700359908,20,100,type1
197,0.714209827,20,100,type1
198,0.727940417,20,100,type1
199,0.729888347,20,100,type1
200,0.733168634,20,100,type1
201,0.733815419,20,100,type1
202,0.738404727,20,100,type1
203,0.746218562,20,100,type1
204,0.747057,20,100,type1
205,0.747878301,20,100,type1
206,0.749037139,20,100,type1
207,0.750428823,20,100,type1
208,0.751469037,20,100,type1
209,0.75212559,20,100,type1
210,0.753789423,20,100,type1
211,0.754368519,20,100,type1
212,0.755245097,20,100,type1
213,0.755252605,20,100,type1
214,0.75713668,20,100,type1
215,0.759215161,20,100,type1
216,0.770239813,20,100,type1
217,0.773907858,20,100,type1
218,0.774007485,20,100,type1
219,0.77698638,20,100,type1
220,0.777514244,20,100,type1
221,0.782734765,20,100,type1
222,0.784821522,20,100,type1
223,0.787447534,20,100,type1
224,0.792860691,20,100,type1
225,0.795388452,20,100,type1
226,0.795588261,20,100,type1
227,0.800403769,20,100,type1
228,0.801902319,20,100,type1
229,0.804163123,20,100,type1
230,0.807214822,20,100,type1
231,0.809102131,20,100,type1
232,0.813354395,20,100,type1
233,0.82086908,20,100,type1
234,0.821127047,20,100,type1
235,0.821738903,20,100,type1
236,0.825191113,20,100,type1
237,0.831633659,20,100,type1
238,0.835247299,20,100,type1
239,0.840936296,20,100,type1
240,0.842320209,20,100,type1
241,0.849665922,20,100,type1
242,0.85326592,20,100,type1
243,0.85413794,20,100,type1
244,0.858180482,20,100,type1
245,0.859340906,20,100,type1
246,0.86275767,20,100,type1
247,0.86479291,20,100,type1
248,0.867097978,20,100,type1
12,0.867161273,20,300,type2
249,0.869212983,20,100,type1
250,0.872321717,20,100,type1
251,0.886404156,20,100,type1
252,0.888074646,20,100,type1
253,0.889936199,20,100,type1
254,0.906536029,20,100,type1
255,0.908228586,20,100,type1
256,0.910732433,20,100,type1
257,0.918571165,20,100,type1
258,0.924906035,20,100,type1
259,0.928349177,20,100,type1
260,0.930911625,20,100,type1
261,0.934567073,20,100,type1
262,0.935291747,20,100,type1
263,0.936244725,20,100,type1
264,0.939687269,20,100,type1
265,0.941441554,20,100,type1
13,0.94497558,20,300,type2
266,0.949619161,20,100,type1
267,0.951969523,20,100,type1
268,0.956666653,20,100,type1
269,0.961391118,20,100,type1
270,0.965884114,20,100,type1
271,0.97498608,20,100,type1
272,0.976219593,20,100,type1
273,0.978246494,20,100,type1
274,0.982025752,20,100,type1
275,0.992500327,20,100,type1
276,1.003922332,20,100,type1
277,1.004196394,20,100,type1
278,1.007767348,20,100,type1
279,1.010365378,20,100,type1
280,1.010424173,20,100,type1
281,1.012667371,20,100,type1
282,1.013540579,20,100,type1
283,1.014032559,20,100,type1
284,1.015128837,20,100,type1
285,1.016064629,20,100,type1
286,1.016553149,20,100,type1
287,1.017383333,20,100,type1
288,1.019672233,20,100,type1
289,1.022548043,20,100,type1
290,1.025011537,20,100,type1
291,1.026264161,20,100,type1
292,1.030730343,20,100,type1
293,1.033333141,20,100,type1
14,1.039006598,20,300,type2
294,1.042929602,20,100,type1
295,1.045677998,20,100,type1
296,1.046302226,20,100,type1
297,1.053947415,20,100,type1
298,1.060758939,20,100,type1
299,1.064029764,20,100,type1
300,1.066877877,20,100,type1
301,1.067700482,20,100,type1
302,1.068898858,20,100,type1
303,1.071417934,20,100,type1
304,1.072790166,20,100,type1
15,1.073440654,20,300,type2
305,1.076134291,20,100,type1
306,1.076325577,20,100,type1
307,1.082768248,20,100,type1
308,1.089435229,20,100,type1
309,1.101716252,20,100,type1
310,1.103533861,20,100,type1
311,1.105511211,20,100,type1
312,1.106412299,20,100,type1
313,1.10888394,20,100,type1
314,1.116651873,20,100,type1
315,1.116755639,20,100,type1
16,1.119752608,20,300,type2
316,1.121575316,20,100,type1
317,1.121929402,20,100,type1
318,1.122448822,20,100,type1
319,1.124489194,20,100,type1
320,1.130998334,20,100,type1
17,1.132771097,20,300,type2
321,1.134530885,20,100,type1
322,1.135939981,20,100,type1
323,1.138815929,20,100,type1
324,1.143615141,20,100,type1
325,1.152001999,20,100,type1
326,1.156751759,20,100,type1
327,1.161364925,20,100,type1
328,1.166780723,20,100,type1
18,1.169207935,20,300,type2
329,1.169577549,20,100,type1
330,1.171717372,20,100,type1
331,1.172250416,20,100,type1
332,1.178003516,20,100,type1
333,1.178226568,20,100,type1
334,1.179014928,20,100,type1
335,1.180711342,20,100,type1
336,1.181235599,20,100,type1
337,1.182218389,20,100,type1
338,1.18399102,20,100,type1
339,1.186913608,20,100,type1
340,1.187720904,20,100,type1
341,1.191328148,20,100,type1
19,1.19260278,20,300,type2
342,1.194417103,20,100,type1
343,1.194633404,20,100,type1
344,1.197497134,20,100,type1
345,1.205444698,20,100,type1
346,1.205902151,20,100,type1
347,1.208663061,20,100,type1
348,1.209743071,20,100,type1
349,1.214292243,20,100,type1
350,1.21441622,20,100,type1
351,1.219546031,20,100,type1
352,1.223736095,20,100,type1
353,1.228269012,20,100,type1
354,1.229154967,20,100,type1
355,1.23091402,20,100,type1
356,1.235320506,20,100,type1
357,1.24282181,20,100,type1
358,1.245037764,20,100,type1
359,1.246414985,20,100,type1
20,1.247847648,20,300,type2
360,1.253928143,20,100,type1
361,1.254550953,20,100,type1
21,1.25518939,20,300,type2
362,1.257246137,20,100,type1
363,1.269241046,20,100,type1
364,1.269624204,20,100,type1
365,1.271851331,20,100,type1
366,1.272418778,20,100,type1
367,1.272586614,20,100,type1
368,1.274109495,20,100,type1
369,1.275170105,20,100,type1
370,1.27522579,20,100,type1
371,1.275879625,20,100,type1
372,1.276771337,20,100,type1
373,1.277249139,20,100,type1
374,1.28054215,20,100,type1
375,1.283487861,20,100,type1
22,1.296538077,20,300,type2
376,1.302249868,20,100,type1
377,1.306828163,20,100,type1
378,1.307086928,20,100,type1
379,1.307202216,20,100,type1
380,1.313105036,20,100,type1
381,1.31530392,20,100,type1
382,1.31534847,20,100,type1
383,1.315503467,20,100,type1
384,1.316217034,20,100,type1
385,1.322166779,20,100,type1
386,1.323952873,20,100,type1
387,1.335454081,20,100,type1
388,1.341360547,20,100,type1
389,1.344615899,20,100,type1
390,1.347035756,20,100,type1
391,1.350507466,20,100,type1
392,1.352625154,20,100,type1
23,1.353635618,20,300,type2
393,1.354308527,20,100,type1
394,1.356053195,20,100,type1
395,1.364785093,20,100,type1
396,1.368756629,20,100,type1
397,1.369610579,20,100,type1
398,1.371410041,20,100,type1
399,1.375218456,20,100,type1
400,1.376861135,20,100,type1
401,1.379318129,20,100,type1
402,1.383948984,20,100,type1
403,1.385986318,20,100,type1
404,1.387249774,20,100,type1
405,1.397928196,20,100,type1
406,1.401495247,20,100,type1
407,1.408896992,20,100,type1
408,1.410451393,20,100,type1
24,1.428003065,20,300,type2
409,1.431117631,20,100,type1
410,1.434145999,20,100,type1
411,1.436518638,20,100,type1
412,1.436649017,20,100,type1
413,1.438167554,20,100,type1
414,1.438241465,20,100,type1
415,1.441324026,20,100,type1
416,1.452614516,20,100,type1
417,1.459348819,20,100,type1
418,1.462439262,20,100,type1
419,1.46491968,20,100,type1
420,1.465269988,20,100,type1
