,arrived_at,num_prefill_tokens,num_decode_tokens,prompt_type,arrival_rate_update
0,0.005550238174014764,10,80,type3,40
0,0.005703577769632967,10,160,type4,80
1,0.008107808890323991,10,80,type3,40
0,0.014285488382896942,10,40,type2,40
2,0.017101989795540725,10,80,type3,40
1,0.0202292218581515,10,160,type4,80
2,0.02616194315509765,10,160,type4,80
0,0.02629555245846383,10,20,type1,10
3,0.03346350673567508,10,80,type3,40
3,0.034300388484129765,10,160,type4,80
1,0.0437848933295078,10,20,type1,10
4,0.04868684797495293,10,160,type4,80
5,0.050361848757939844,10,160,type4,80
4,0.052675704374486286,10,80,type3,40
5,0.05590473063796203,10,80,type3,40
6,0.06606098306665706,10,160,type4,80
7,0.07743770120551852,10,160,type4,80
1,0.10673188073097886,10,40,type2,40
8,0.10964171459102408,10,160,type4,80
9,0.10995242400219196,10,160,type4,80
2,0.11465157881880822,10,40,type2,40
2,0.11585402598536572,10,20,type1,20
10,0.12327970288611931,10,160,type4,80
11,0.1306658155642331,10,160,type4,80
6,0.1423709588970247,10,80,type3,40
3,0.14777817746810398,10,40,type2,40
3,0.15022740809124274,10,20,type1,20
4,0.1529369691875987,10,40,type2,40
12,0.16648934666947565,10,160,type4,80
4,0.16719217275569243,10,20,type1,20
13,0.1768794408915421,10,160,type4,80
5,0.18068394375384822,10,40,type2,40
14,0.18859850345751042,10,160,type4,80
15,0.18870022137545145,10,160,type4,80
6,0.20016044740572106,10,40,type2,40
16,0.20527281437228,10,160,type4,80
7,0.20718285354753363,10,80,type3,40
17,0.21037157735356735,10,160,type4,80
18,0.21383228824987371,10,160,type4,80
5,0.21417376079217149,10,20,type1,20
19,0.22578633217041688,10,160,type4,80
7,0.23989727417529133,10,40,type2,40
6,0.2536724587379976,10,20,type1,20
20,0.2545440979103395,10,160,type4,80
7,0.25796052634667455,10,20,type1,20
8,0.25982488888034455,10,40,type2,40
21,0.2621116073958341,10,160,type4,80
8,0.2672196989250893,10,80,type3,40
22,0.2698430897101916,10,160,type4,80
9,0.27119338537349297,10,40,type2,40
23,0.2734891333048162,10,160,type4,80
10,0.27755183053906507,10,40,type2,40
24,0.28004226907575314,10,160,type4,80
11,0.2852300244209436,10,40,type2,40
25,0.3057866706571127,10,160,type4,80
26,0.30579750642807646,10,160,type4,80
27,0.30968941455477317,10,160,type4,80
12,0.3101580453900584,10,40,type2,40
28,0.31420523113273885,10,160,type4,80
29,0.32338230398359036,10,160,type4,80
30,0.32436273521011816,10,160,type4,80
31,0.32489770551628067,10,160,type4,80
9,0.3270307809761973,10,80,type3,40
8,0.32849955452765767,10,20,type1,20
13,0.3370770343480687,10,40,type2,40
14,0.3398984004802166,10,40,type2,40
10,0.3593874082898194,10,80,type3,40
15,0.36853612265675156,10,40,type2,40
32,0.36854543880253704,10,160,type4,80
33,0.37467783635037616,10,160,type4,80
34,0.37804919668191206,10,160,type4,80
35,0.38366033456540277,10,160,type4,80
16,0.4004658746130307,10,40,type2,40
17,0.4067628301725424,10,40,type2,40
36,0.41405703715633135,10,160,type4,80
37,0.4170065319878475,10,160,type4,80
9,0.41827867289264936,10,20,type1,20
18,0.4299374416909657,10,40,type2,40
38,0.43391354660049797,10,160,type4,80
11,0.4386069594912059,10,80,type3,40
39,0.44246228944699045,10,160,type4,80
10,0.46232589000215374,10,20,type1,20
12,0.46527924280905514,10,80,type3,40
